iter	Passed	Remaining
0	124	124743
1	126	63352
2	129	43193
3	132	32922
4	134	26745
5	135	22526
6	137	19474
7	139	17336
8	142	15639
9	143	14208
10	144	13020
11	145	12017
12	147	11176
13	148	10461
14	149	9833
15	150	9250
16	150	8728
17	152	8300
18	154	7980
19	155	7637
20	157	7329
21	158	7053
22	159	6786
23	161	6568
24	164	6419
25	166	6225
26	167	6031
27	168	5843
28	169	5688
29	172	5572
30	173	5416
31	174	5266
32	176	5157
33	176	5023
34	177	4897
35	178	4776
36	180	4707
37	183	4644
38	184	4542
39	185	4440
40	185	4341
41	186	4250
42	187	4162
43	187	4077
44	188	3996
45	188	3918
46	189	3843
47	190	3770
48	190	3701
49	191	3637
50	191	3571
51	192	3512
52	193	3466
53	194	3407
54	195	3350
55	195	3297
56	196	3244
57	196	3196
58	197	3156
59	198	3117
60	199	3078
61	200	3040
62	201	3002
63	202	2966
64	203	2930
65	204	2892
66	204	2852
67	205	2810
68	205	2774
69	206	2739
70	206	2708
71	207	2675
72	208	2642
73	208	2610
74	209	2579
75	209	2548
76	210	2518
77	210	2490
78	211	2466
79	212	2438
80	212	2411
81	213	2385
82	213	2359
83	213	2333
84	214	2307
85	214	2284
86	215	2259
87	215	2235
88	216	2213
89	216	2192
90	217	2173
91	218	2153
92	218	2135
93	219	2116
94	220	2099
95	220	2080
96	221	2062
97	222	2044
98	222	2026
99	223	2009
100	223	1991
101	224	1972
102	224	1955
103	225	1939
104	225	1923
105	226	1907
106	226	1892
107	227	1876
108	227	1862
109	228	1848
110	228	1833
111	229	1819
112	229	1805
113	230	1791
114	231	1778
115	231	1764
116	232	1751
117	232	1738
118	232	1724
119	233	1712
120	234	1700
121	234	1688
122	234	1675
123	235	1663
124	235	1651
125	236	1641
126	237	1630
127	237	1618
128	238	1607
129	238	1597
130	239	1586
131	239	1577
132	240	1567
133	241	1557
134	241	1548
135	242	1539
136	242	1530
137	243	1521
138	244	1512
139	244	1503
140	245	1494
141	245	1485
142	246	1477
143	246	1468
144	247	1459
145	248	1450
146	248	1442
147	249	1434
148	249	1425
149	250	1418
150	250	1410
151	251	1402
152	251	1394
153	252	1386
154	252	1378
155	253	1370
156	253	1363
157	254	1356
158	255	1349
159	255	1342
160	256	1335
161	256	1328
162	257	1321
163	257	1314
164	258	1307
165	258	1301
166	259	1294
167	260	1287
168	260	1281
169	261	1274
170	261	1268
171	262	1262
172	262	1256
173	263	1250
174	263	1244
