iter	Passed	Remaining
0	0	684
1	1	675
2	2	725
3	2	676
4	3	636
5	3	608
6	4	602
7	4	589
8	5	573
9	5	563
10	6	554
11	6	549
12	7	545
13	7	543
14	8	534
15	8	531
16	9	527
17	9	524
18	10	521
19	10	516
20	11	513
21	11	510
22	11	507
23	12	503
24	12	500
25	13	496
26	13	495
27	14	494
28	14	491
29	15	490
30	15	489
31	16	487
32	16	488
33	17	489
34	17	488
35	18	493
36	18	491
37	19	489
38	19	490
39	20	488
40	20	486
41	21	485
42	21	485
43	22	485
44	22	484
45	23	482
46	23	481
47	24	482
48	24	481
49	25	481
50	25	480
51	26	480
52	26	479
53	27	477
54	27	476
55	28	474
56	28	473
57	29	472
58	29	471
59	30	470
60	30	469
61	30	468
62	31	469
63	32	468
64	32	468
65	33	467
66	33	470
67	34	470
68	34	470
69	35	469
70	35	468
71	36	467
72	36	467
73	37	467
74	37	466
75	38	464
76	38	463
77	39	462
78	39	461
79	40	460
80	40	459
81	41	459
82	41	456
83	41	455
84	42	454
85	42	453
86	43	452
87	43	451
88	44	451
89	44	450
90	44	449
91	45	448
92	45	447
93	46	447
94	46	447
95	47	447
96	47	446
97	48	445
98	48	445
99	49	446
100	50	446
101	50	446
102	51	445
103	51	444
104	52	444
105	52	444
106	53	443
107	53	443
108	54	442
109	54	442
110	55	441
111	55	440
112	56	440
113	56	439
114	57	439
115	57	438
116	57	437
117	58	436
118	58	435
119	59	435
120	59	434
121	60	432
122	60	432
123	61	431
124	61	431
125	62	431
126	62	431
127	63	430
128	63	431
129	64	431
130	64	430
131	65	429
132	65	429
133	66	428
134	66	428
135	67	427
136	67	426
137	68	426
138	68	425
139	69	424
140	69	424
141	69	422
142	70	422
143	70	421
144	71	421
145	71	420
146	72	421
147	73	420
148	73	420
149	74	419
150	74	419
151	75	419
152	75	418
153	76	420
154	77	420
155	77	421
156	78	421
157	79	421
158	79	420
159	80	420
160	80	419
161	81	419
162	81	419
163	82	419
164	82	419
165	83	419
166	83	418
167	84	418
168	84	417
169	85	417
170	85	416
171	86	416
172	87	415
173	87	415
174	88	414
175	88	414
176	89	413
177	89	413
178	89	412
179	90	412
180	90	411
181	91	410
182	91	410
183	92	409
184	93	410
185	93	410
186	94	409
187	94	409
188	95	409
189	96	410
190	96	410
191	97	409
192	97	409
193	98	409
194	98	408
195	99	407
196	99	407
197	100	406
198	100	406
199	101	405
200	101	404
201	102	404
202	102	403
203	103	403
204	103	402
205	104	402
206	104	401
207	105	401
208	105	400
209	106	400
210	106	399
211	107	399
212	108	399
213	108	399
214	109	399
215	110	399
216	110	399
217	111	399
218	111	398
219	112	398
220	112	398
221	113	397
222	114	397
223	114	397
224	115	396
225	115	396
226	116	395
227	116	395
228	117	394
229	117	393
230	118	393
231	118	392
232	119	392
233	119	391
234	120	391
235	120	390
236	121	390
237	121	389
238	122	389
239	122	388
240	123	388
241	123	388
242	124	387
243	125	387
244	125	387
245	126	387
246	126	386
247	127	385
248	127	385
249	128	385
250	128	384
251	129	384
252	129	383
253	130	382
254	130	382
255	131	381
256	131	381
257	132	381
258	132	380
259	133	379
260	133	379
261	134	378
262	135	378
263	135	378
264	136	377
265	136	377
266	137	376
267	137	376
268	138	376
269	139	376
270	139	375
271	140	375
272	140	374
273	141	374
274	141	373
275	142	373
276	142	372
277	143	372
278	143	371
279	144	371
280	144	370
281	145	370
282	145	369
283	146	368
284	146	368
285	147	368
286	147	367
287	148	367
288	148	366
289	149	366
290	150	365
291	150	364
292	150	364
293	151	363
294	152	363
295	152	363
296	153	362
297	153	362
298	154	362
299	155	361
300	155	361
301	156	360
302	156	360
303	157	359
304	157	359
305	158	358
306	158	358
307	159	357
308	159	357
309	160	356
310	160	356
311	161	355
312	161	355
313	162	354
314	162	354
315	163	353
316	163	353
317	164	352
318	164	352
319	165	351
320	165	351
321	166	350
322	167	350
323	167	349
324	168	349
325	169	349
326	169	349
327	170	349
328	171	348
329	171	348
330	172	347
331	172	347
332	173	346
333	173	346
334	174	345
335	174	344
336	175	344
337	175	343
338	176	343
339	176	342
340	177	342
341	177	341
342	178	340
343	178	340
344	179	340
345	179	339
346	180	339
347	180	338
348	181	337
349	181	337
350	182	336
351	182	336
352	183	335
353	183	335
354	184	335
355	184	334
356	185	334
357	186	333
358	186	333
359	187	332
360	187	332
361	188	331
362	188	331
363	189	330
364	189	330
365	190	329
366	190	329
367	191	328
368	191	328
369	192	327
370	192	327
371	193	326
372	193	326
373	194	325
374	195	325
375	195	324
376	196	323
377	196	323
378	197	322
379	197	322
380	198	322
381	198	321
382	199	321
383	200	321
384	200	320
385	201	319
386	201	319
387	202	318
388	202	318
389	203	317
390	203	316
391	204	316
392	204	315
393	205	315
394	205	314
395	206	314
396	206	313
397	207	313
398	207	312
399	208	312
400	208	311
401	209	311
402	209	310
403	210	310
404	210	309
405	211	309
406	211	308
407	212	307
408	212	307
409	213	306
410	213	306
411	214	305
412	214	305
413	215	305
414	216	304
415	216	303
416	217	303
417	217	302
418	218	302
419	218	301
420	219	301
421	219	300
422	220	300
423	220	299
424	221	299
425	221	298
426	222	298
427	222	297
428	223	297
429	223	296
430	224	295
431	224	295
432	225	294
433	225	294
434	226	293
435	226	293
436	227	292
437	227	292
438	228	291
439	228	291
440	229	290
441	230	290
442	230	289
443	231	289
444	231	288
445	232	288
446	232	287
447	233	287
448	233	286
449	234	286
450	234	285
451	235	285
452	235	284
453	236	284
454	236	283
455	237	283
456	237	282
457	238	282
458	238	281
459	239	281
460	239	280
461	240	280
462	241	279
463	241	279
464	242	278
465	242	278
466	243	277
467	244	277
468	244	277
469	245	276
470	245	276
471	246	275
472	247	275
473	247	274
474	247	274
475	248	273
476	248	272
477	249	272
478	249	271
479	250	271
480	250	270
481	251	270
482	252	269
483	252	269
484	253	268
485	253	268
486	254	267
487	254	267
488	255	266
489	255	265
490	256	265
491	256	264
492	256	264
493	257	263
494	257	263
495	258	262
496	259	262
497	259	261
498	260	261
499	260	260
500	261	260
501	261	259
502	262	259
503	262	258
504	263	258
505	263	257
506	264	256
507	264	256
508	265	255
509	265	255
510	266	254
511	266	254
512	267	253
513	267	253
514	268	252
515	268	252
516	269	251
517	269	251
518	270	250
519	270	250
520	271	249
521	271	248
522	272	248
523	272	247
524	273	247
525	274	247
526	274	246
527	275	246
528	275	245
529	276	245
530	276	244
531	277	243
532	277	243
533	278	242
534	278	242
535	279	241
536	279	241
537	280	240
538	280	240
539	281	239
540	281	239
541	282	238
542	283	238
543	283	237
544	284	237
545	284	236
546	285	236
547	285	235
548	286	235
549	286	234
550	287	234
551	287	233
552	288	233
553	288	232
554	289	232
555	290	231
556	290	231
557	291	230
558	291	230
559	292	229
560	292	228
561	293	228
562	293	227
563	294	227
564	294	226
565	295	226
566	295	225
567	296	225
568	296	224
569	297	224
570	297	223
571	298	223
572	298	222
573	299	222
574	299	221
575	300	221
576	300	220
577	301	220
578	301	219
579	302	218
580	302	218
581	303	217
582	304	217
583	304	217
584	305	216
585	305	216
586	306	215
587	306	214
588	307	214
589	307	213
590	308	213
591	308	212
592	309	212
593	309	211
594	310	211
595	310	210
596	311	210
597	311	209
598	312	208
599	312	208
600	313	207
601	313	207
602	313	206
603	314	206
604	314	205
605	315	205
606	315	204
607	316	203
608	316	203
609	317	202
610	317	202
611	317	201
612	318	201
613	318	200
614	319	199
615	320	199
616	320	198
617	321	198
618	321	197
619	322	197
620	322	196
621	323	196
622	323	195
623	324	195
624	324	194
625	325	194
626	325	193
627	326	193
628	326	192
629	327	192
630	327	191
631	328	191
632	328	190
633	329	189
634	329	189
635	330	188
636	330	188
637	331	187
638	331	187
639	331	186
640	332	186
641	332	185
642	333	185
643	334	184
644	334	184
645	335	183
646	335	183
647	336	182
648	337	182
649	337	181
650	337	181
651	338	180
652	338	180
653	339	179
654	339	179
655	340	178
656	340	177
657	341	177
658	341	176
659	342	176
660	342	175
661	343	175
662	343	174
663	344	174
664	344	173
665	345	173
666	345	172
667	346	172
668	346	171
669	347	171
670	347	170
671	348	170
672	349	169
673	349	169
674	350	168
675	350	168
676	351	167
677	351	167
678	352	166
679	352	166
680	353	165
681	354	165
682	354	164
683	354	163
684	355	163
685	355	162
686	356	162
687	356	161
688	357	161
689	357	160
690	358	160
691	358	159
692	359	159
693	359	158
694	360	158
695	361	157
696	361	157
697	361	156
698	362	156
699	362	155
700	363	155
701	364	154
702	364	154
703	365	153
704	365	153
705	366	152
706	366	152
707	367	151
708	367	150
709	368	150
710	368	149
711	369	149
712	369	148
713	370	148
714	370	147
715	371	147
716	371	146
717	372	146
718	372	145
719	373	145
720	373	144
721	374	144
722	374	143
723	375	143
724	375	142
725	376	142
726	377	141
727	377	141
728	378	140
729	378	140
730	379	139
731	380	139
732	380	138
733	381	138
734	381	137
735	382	137
736	382	136
737	383	136
738	383	135
739	384	135
740	384	134
741	385	133
742	385	133
743	386	132
744	386	132
745	387	131
746	387	131
747	388	130
748	388	130
749	389	129
750	389	129
751	390	128
752	390	128
753	391	127
754	391	127
755	392	126
756	392	126
757	393	125
758	393	125
759	394	124
760	395	124
761	395	123
762	396	123
763	396	122
764	397	121
765	397	121
766	398	120
767	398	120
768	399	119
769	399	119
770	400	118
771	400	118
772	401	117
773	401	117
774	402	116
775	402	116
776	403	115
777	403	115
778	404	114
779	404	114
780	405	113
781	405	113
782	406	112
783	406	112
784	407	111
785	407	110
786	408	110
787	408	109
788	409	109
789	409	108
790	410	108
791	410	107
792	411	107
793	411	106
794	412	106
795	412	105
796	413	105
797	413	104
798	414	104
799	415	103
800	415	103
801	416	102
802	416	102
803	417	101
804	417	101
805	418	100
806	418	100
807	419	99
808	419	99
809	420	98
810	420	98
811	421	97
812	421	96
813	422	96
814	422	95
815	423	95
816	423	94
817	424	94
818	424	93
819	425	93
820	426	92
821	426	92
822	427	91
823	427	91
824	428	90
825	428	90
826	429	89
827	429	89
828	430	88
829	430	88
830	431	87
831	431	87
832	432	86
833	432	86
834	433	85
835	433	85
836	434	84
837	435	84
838	435	83
839	436	83
840	436	82
841	437	82
842	437	81
843	438	81
844	438	80
845	439	79
846	440	79
847	440	78
848	441	78
849	441	77
850	442	77
851	442	76
852	443	76
853	443	75
854	444	75
855	444	74
856	445	74
857	446	73
858	446	73
859	447	72
860	447	72
861	448	71
862	448	71
863	448	70
864	449	70
865	449	69
866	450	69
867	451	68
868	451	68
869	452	67
870	452	67
871	453	66
872	453	65
873	454	65
874	454	64
875	455	64
876	455	63
877	456	63
878	456	62
879	457	62
880	457	61
881	458	61
882	458	60
883	459	60
884	459	59
885	460	59
886	460	58
887	461	58
888	462	57
889	462	57
890	463	56
891	463	56
892	464	55
893	464	55
894	465	54
895	465	54
896	466	53
897	466	53
898	467	52
899	467	51
900	468	51
901	468	50
902	469	50
903	469	49
904	470	49
905	471	48
906	471	48
907	472	47
908	472	47
909	473	46
910	473	46
911	474	45
912	474	45
913	475	44
914	475	44
915	476	43
916	476	43
917	477	42
918	477	42
919	478	41
920	478	41
921	479	40
922	479	40
923	480	39
924	480	38
925	481	38
926	481	37
927	482	37
928	482	36
929	483	36
930	483	35
931	484	35
932	484	34
933	485	34
934	485	33
935	486	33
936	486	32
937	487	32
938	487	31
939	488	31
940	488	30
941	489	30
942	489	29
943	490	29
944	490	28
945	491	28
946	491	27
947	492	27
948	493	26
949	493	25
950	494	25
951	494	24
952	495	24
953	495	23
954	496	23
955	496	22
956	496	22
957	497	21
958	497	21
959	498	20
960	498	20
961	499	19
962	499	19
963	500	18
964	501	18
965	501	17
966	502	17
967	502	16
968	503	16
969	503	15
970	504	15
971	504	14
972	505	14
973	505	13
974	506	12
975	506	12
976	507	11
977	507	11
978	508	10
979	508	10
980	509	9
981	509	9
982	510	8
983	510	8
984	511	7
985	511	7
986	512	6
987	512	6
988	513	5
989	513	5
990	514	4
991	514	4
992	515	3
993	516	3
994	516	2
995	517	2
996	517	1
997	518	1
998	518	0
999	519	0
